source,target,context
Mongolia Tax Authority,Монгол улсын татварын ерөнхий газар,
ITC,ИТТ (Инновацийн технологийн төв),
Information Technology Center,Инновацийн технологийн төв,
Electronic Tax Report System,Цахим татварын тайлангийн систем,
eTax v1.1,Цахим татвар v1.1,
Help,Тусламж,
Documentation,Баримт бичиг,
API Documentation,API баримт бичиг,
User Guide,Хэрэглэгчийн гарын авлага,
Submit selected reports,Сонгосон тайлангуудыг илгээх,
Refresh,Шинэчлэх,
Export,Экспорт,
Import,Импорт,
Print,Хэвлэх,
Download,Татаж авах,
Upload,Байршуулах,
Cancel,Цуцлах,
Delete,Устгах,
Save,Хадгалах,
Submit,Илгээх,
Confirm,Баталгаажуулах,
Yes,Тийм,
No,Үгүй,
Back,Буцах,
Next,Дараах,
Previous,Өмнөх,
First,Эхний,
Last,Сүүлийн,
All,Бүгд,
None,Байхгүй,
Select,Сонгох,
Selected,Сонгогдсон,
Clear,Цэвэрлэх,
Filter,Шүүлтүүр,
Search,Хайх,
Sort,Эрэмбэлэх,
Group,Бүлэглэх,
Expand,Дэлгэх,
Collapse,Хураах,
Show,Харуулах,
Hide,Нуух,
Enable,Идэвхжүүлэх,
Disable,Идэвхгүй болгох,
Start,Эхлэх,
Stop,Зогсоох,
Pause,Түр зогсоох,
Resume,Үргэлжлүүлэх,
Retry,Дахин оролдох,
Sync,Синхрончлох,
Loading,Ачаалж байна,
Processing,Боловсруулж байна,
Saving,Хадгалж байна,
Submitting,Илгээж байна,
Complete,Дуусгах,
Completed,Дуусгасан,
Pending,Хүлээгдэж буй,
In Progress,Явагдаж буй,
Cancelled,Цуцлагдсан,
Rejected,Татгалзсан,
Approved,Батлагдсан,
Active,Идэвхтэй,
Inactive,Идэвхгүй,
Draft,Ноорог,
Final,Эцсийн,
Total,Нийт,
Count,Тоо,
Sum,Нийлбэр,
Average,Дундаж,
Minimum,Хамгийн бага,
Maximum,Хамгийн их,
Date,Огноо,
Time,Цаг,
DateTime,Огноо цаг,
Year,Жил,
Month,Сар,
Week,7 хоног,
Day,Өдөр,
Hour,Цаг,
Minute,Минут,
Second,Секунд,
Currency,Мөнгөн тэмдэгт,
MNT,₮ (Төгрөг),
Amount,Дүн,
Quantity,Тоо хэмжээ,
Rate,Хувь,
Percent,Хувь,
Tax Rate,Татварын хувь,
Tax Amount,Татварын дүн,
Total Tax,Нийт татвар,
Base Amount,Үндсэн дүн,
Net Amount,Цэвэр дүн,
Gross Amount,Нийт дүн,
Balance,Үлдэгдэл,
Credit,Кредит,
Debit,Дебит,
Income,Орлого,
Expense,Зардал,
Revenue,Орлого,
Cost,Өртөг,
Profit,Ашиг,
Loss,Алдагдал,
Asset,Хөрөнгө,
Liability,Өр төлбөр,
Equity,Өөрийн хөрөнгө,
Account,Данс,
Journal,Журнал,
Ledger,Дэвтэр,
Report Period,Тайлант үе,
Fiscal Year,Санхүүгийн жил,
Quarter,Улирал,
Q1,1-р улирал,
Q2,2-р улирал,
Q3,3-р улирал,
Q4,4-р улирал,
January,1-р сар,
February,2-р сар,
March,3-р сар,
April,4-р сар,
May,5-р сар,
June,6-р сар,
July,7-р сар,
August,8-р сар,
September,9-р сар,
October,10-р сар,
November,11-р сар,
December,12-р сар,
Company,Компани,
Customer,Харилцагч,
Supplier,Нийлүүлэгч,
Employee,Ажилтан,
Contact,Холбоо барих,
Address,Хаяг,
Phone,Утас,
Email,Имэйл,
Website,Вэбсайт,
Description,Тайлбар,
Remarks,Тайлбар,
Comments,Сэтгэгдэл,
Attachments,Хавсралтууд,
History,Түүх,
Activity,Үйл ажиллагаа,
Timeline,Он цагийн хэлхээ,
Details,Дэлгэрэнгүй,
Summary,Хураангуй,
Overview,Тойм,
Dashboard,Хянах самбар,
Report,Тайлан,
Form,Маягт,
List,Жагсаалт,
Tree,Мод,
Calendar,Календарь,
Kanban,Канбан,
Chart,Диаграмм,
Graph,График,
Table,Хүснэгт,
Grid,Сүлжээ,
Card,Карт,
Image,Зураг,
File,Файл,
Link,Холбоос,
Button,Товч,
Field,Талбар,
Column,Багана,
Row,Мөр,
Cell,Нүд,
Header,Толгой,
Footer,Хөл,
Title,Гарчиг,
Label,Шошго,
Name,Нэр,
Code,Код,
ID,ID,
Number,Дугаар,
Type,Төрөл,
Category,Ангилал,
Group,Бүлэг,
Class,Анги,
Level,Түвшин,
Priority,Нэн тэргүүнд,
Order,Дараалал,
Index,Индекс,
Key,Түлхүүр,
Parent,Эцэг,
Child,Хүүхэд,
Root,Үндэс,
Leaf,Навч,
Node,Зангилаа,
Branch,Салбар,
Tag,Шошго,
Attribute,Шинж чанар,
Property,Шинж,
Parameter,Параметр,
Variable,Хувьсагч,
Constant,Тогтмол,
Default,Өгөгдмөл,
Required,Заавал,
Optional,Заавал биш,
Mandatory,Заавал,
Read Only,Зөвхөн унших,
Editable,Засварлах боломжтой,
Hidden,Нуугдсан,
Visible,Харагдах,
Enabled,Идэвхтэй,
Disabled,Идэвхгүй,
Valid,Хүчинтэй,
Invalid,Хүчингүй,
Error,Алдаа,
Warning,Анхааруулга,
Info,Мэдээлэл,
Success,Амжилттай,
Failure,Амжилтгүй,
Unknown,Тодорхойгүй,
Other,Бусад,
System,Систем,
Admin,Админ,
User,Хэрэглэгч,
Guest,Зочин,
Manager,Менежер,
Staff,Ажилтан,
Owner,Эзэмшигч,
Creator,Үүсгэгч,
Modified By,Засварласан,
Created By,Үүсгэсэн,
Last Modified,Сүүлд засварласан,
Creation,Үүсгэсэн,
Modified,Засварласан,
